RDKit_Canonical_Smiles,Molecule_ChEMBL_ID,Fingerprints_tsne_x,Fingerprints_tsne_y,Daylight_tsne_x,Daylight_tsne_y,Molecular_Descriptors_tsne_x,Molecular_Descriptors_tsne_y,Embeddings_tsne_x,Embeddings_tsne_y,Embeddings_Divergence_Pearson_Correlation,Embeddings_Divergence_Kendall_Correlation,Fingerprints_Divergence_Pearson_Correlation,Fingerprints_Divergence_Kendall_Correlation,Daylight_Divergence_Pearson_Correlation,Daylight_Divergence_Kendall_Correlation,Molecular_Descriptors_Divergence_Pearson_Correlation,Molecular_Descriptors_Divergence_Kendall_Correlation,Molecular_weight,aLogP,cx_most_apka,cx_most_bpka,Lipinski_RO5_violations,Follows_Lipinskis_RO5,QED_weighed,Bioactivity_A,Bioactivity_B
NCCc1c[nH]c2ccc(O)cc12,CHEMBL39,0.046849996,0.13086098,0.66928256,0.18199793,0.4156552,0.75790673,0.96695125,0.21075518,0.327509029945202,0.235694625525134,0.361146535465839,0.40576560915544,0.306311714673719,0.207590902506157,0.016360563892237,0.226713023323193,176.22,1.37,9.31,10,0,TRUE,0.65,0,2
O=C(Nc1ccc(Oc2cccnc2Cl)nc1)c1c[nH]c2ccccc12,CHEMBL516452,0.14733827,0.13099393,0.735831,0.0639278,0.4260233,0.028286517,0.9734035,0.24972719,0.331820738354916,0.133709981167608,0.48149308507826,0.466898449949298,0.391660212284781,0.155149934810952,0.008088727783543,0.171085035491815,364.79,4.66,12.78,1.53,0,TRUE,0.52,0,0
CN(C)CC1CC2c3cc(F)ccc3Cc3ccc(F)cc3N2O1,CHEMBL314107,0.85972786,0.53242505,0.41507852,0.38971803,0.37743908,0.6024803,0.920732,0.5621835,0.388741162372918,0.147616978125453,0.523981681006506,0.156598580327394,0.105571953243325,-0.193104447341736,-0.279476666431562,-0.032015065913371,330.38,3.68,,8.39,0,TRUE,0.84,0,1
CNCC1CC2c3ccccc3Cc3ccccc3N2O1,CHEMBL81485,0.95960677,0.5188368,0.4271261,0.33828354,0.42153862,0.6100092,0.97014713,0.51067585,0.502794236785342,0.174851513834565,0.569983876965471,0.135448355787339,0.13858309166151,-0.249601622482978,-0.398167398860158,-0.044473417354773,280.37,3.06,,9.48,0,TRUE,0.91,0,0
Cc1ccc2[nH]cc(C(=O)Nc3ccc(Oc4cccnc4C)nc3)c2c1,CHEMBL480127,0.18033078,0.12028271,0.7417334,0.09118357,0.43208194,0.007944226,0.9650482,0.26761812,0.367398352623526,0.136317543097204,0.496410084637581,0.455019556714472,0.405416038448702,0.178907721280603,-0.089637271843153,0.157757496740548,358.4,4.62,12.99,5.44,0,TRUE,0.56,0,0
O=C(CNC(=O)c1cccc(C(F)(F)F)c1)N[C@@H]1CCN(CCC2CCN(C(=O)c3ccccc3Cl)CC2)C1,CHEMBL1088874,0.045673847,0.4809477,0.44006103,1,0.23969603,0.9434637,0.08768511,0.06184116,0.516829869156729,0.22729248152977,0.413457154979519,0.20701144429958,0.408040243312494,0.226133565116616,0.37560440397397,0.439953643343474,565.04,4.22,,9.01,1,TRUE,0.5,0,0
O=C(CNC(=O)c1cccc(C(F)(F)F)c1)N[C@@H]1CCN(CCN2CCN(C(=O)c3ccccc3Cl)CC2)C1,CHEMBL1092238,0.05662921,0.5522079,0.42431813,0.9810135,0.2270501,0.9498246,0.022162288,0.07946876,0.540831074220732,0.257424308271766,0.493777827035874,0.337389540779371,0.448366202489424,0.240330291177749,0.387162493042734,0.452991452991453,566.02,2.74,,8.01,1,TRUE,0.51,0,0
O=C(CNC(=O)c1cccc(C(F)(F)F)c1)N[C@@H]1CCN(CCC2CCN(C(=O)c3ccccc3)CC2)C1,CHEMBL1092929,0.076446295,0.4983174,0.4541239,0.97922605,0.24536748,0.90628487,0.07481602,0.073566884,0.505631687223394,0.232507605388961,0.394534645305555,0.216862233811386,0.42129710196897,0.267275097783572,0.41242503550832,0.483413008836738,530.59,3.57,,9.01,1,TRUE,0.55,0,0
CN1C2CCC1CC(NC(=O)c1cnn3ccccc13)C2,CHEMBL355149,0.57607347,0.5302583,0.7477291,0.5696306,0.4202281,0.81659687,0.1798231,0.11285353,0.384447241699062,0.27509778357236,0.174180134190646,-0.076923076923077,0.201350252041814,0.338548457192525,-0.066600367668243,0.23279733449225,284.36,1.69,13.7,9.16,0,TRUE,0.91,0,0
CCC(CC(=O)c1ccc(Cl)c(Cl)c1)N1CCCC1,CHEMBL377498,0.5902426,0.14279482,0.09747037,0.18026367,0.32692885,0.72913176,0.17908156,0.9596123,0.088578568436987,0.088801970157902,0.307532937186153,0.021295089091699,0.518533751570466,0.218890337534405,0.447350242270658,0.239171374764595,300.23,4.44,,8.92,0,TRUE,0.75,0,0
