RDKit_Canonical_Smiles,Molecule_ChEMBL_ID,Fingerprints_tsne_x,Fingerprints_tsne_y,Daylight_tsne_x,Daylight_tsne_y,Molecular_Descriptors_tsne_x,Molecular_Descriptors_tsne_y,Embeddings_tsne_x,Embeddings_tsne_y,Embeddings_Divergence_Pearson_Correlation,Embeddings_Divergence_Kendall_Correlation,Fingerprints_Divergence_Pearson_Correlation,Fingerprints_Divergence_Kendall_Correlation,Daylight_Divergence_Pearson_Correlation,Daylight_Divergence_Kendall_Correlation,Molecular_Descriptors_Divergence_Pearson_Correlation,Molecular_Descriptors_Divergence_Kendall_Correlation,Molecular_weight,aLogP,cx_most_apka,cx_most_bpka,Lipinski_RO5_violations,Follows_Lipinskis_RO5,QED_weighed,Bioactivity_A
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,CHEMBL70,0.69497705,0.44252825,0.61287105,0.8267394,0.8691392,0.8728327,0.658541,0.13594493,0.574652618514535,0.321137496924259,0.360260876873822,0.269535349680374,0.405287161847272,0.180055137366362,0.632783748232022,0.478424617980406,285.34,1.2,10.26,9.12,0,TRUE,0.7,0
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,CHEMBL389621,0.6981764,0.24012168,0.6237076,0.78157973,0.6663618,0.12986857,0.6323286,0.09303358,0.624116136611868,0.481613345452172,0.328089632450321,0.306022426546282,0.544182503771592,0.276761458077022,0.220996004185405,0.19069092442967,362.47,1.78,12.59,,0,TRUE,0.7,0
COCO[C@@H]1CC(=O)OC[C@H](C)C(=O)O[C@@H](C(C)C)C(=O)N(C)[C@H]1Cc1ccccc1,CHEMBL40066,0.75113356,0.37827936,0.64683336,0.72640854,0.5461053,0.344607,0.699558,0.1588794,0.850386402261481,0.496100713571927,0.521327399782538,0.343543956733739,0.548194884200044,0.202843240148841,0.312131242449148,0.36573448696639,435.52,2.2,,,0,TRUE,0.5,0
C[C@@H]1C(=O)OCC(=O)N(C)[C@@H](Cc2ccccc2)[C@@H](O)CC(=O)O[C@@H]1C,CHEMBL39957,0.71481407,0.34794557,0.6797792,0.7207049,0.64008015,0.20178059,0.69408154,0.1475789,0.758590438634849,0.433671957778235,0.540508256783711,0.398440285428771,0.536749523965757,0.216808359989756,0.043411202410233,0.101768111720959,363.41,0.93,,,0,TRUE,0.79,0
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CCC)C(=O)N(C)CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,CHEMBL2372469,0.95241404,0.29882246,0.2900231,0.62994367,0.25813678,0.13675165,0.95534015,0.054712057,0.716046401539753,0.618643259230989,0.594059902771021,0.534400594559579,0.638957259075048,0.38473126810921,0.713975053324011,0.429915787465037,1202.63,,,,,Undefined,,0
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(NC(=O)c4cnc5ccccc5c4)c(OC)c(OC)c3)cc1)CC2,CHEMBL506742,0.5019192,0.84064794,0.39744213,0.9386739,0.6889328,0.5008682,0.33558288,0.6023812,0.673065424549969,0.513324863537529,0.368590469761076,0.064703548777487,0.385491229449638,0.064095932991529,0.269489306940168,0.318988244392108,646.74,6.37,,8.36,2,FALSE,0.17,0
COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1ccc2ncccc2c1,CHEMBL455275,0.47803158,0.8359903,0.39089292,0.9299029,0.6908479,0.5158036,0.3232673,0.6187389,0.657078794803191,0.539758661035759,0.488036919639079,0.144466930134228,0.485626007005384,0.0955413053194,0.36233792069889,0.356308909856934,644.73,6.14,,8.36,2,FALSE,0.17,0
CCCC[C@H]1OC(=O)C[C@H](OCOC)[C@H](Cc2ccccc2)N(C)C(=O)COC(=O)[C@H]1C,CHEMBL38977,0.721316,0.36278313,0.67166775,0.72478676,0.5619022,0.36148793,0.70776224,0.17255998,0.85847785919633,0.423357554271137,0.495710466034249,0.342835908586465,0.587909282455852,0.235759946569984,0.208753335355713,0.255479840714275,449.54,2.73,,,0,TRUE,0.45,0
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,CHEMBL44657,0.31731936,0.10201579,0.60115904,0.8244568,0.55539566,0.59689367,0.6696323,0.1488756,0.619235294102098,0.262605516749607,0.232223078894483,0.196335223135599,0.376941192829723,0.177418787881831,0.098255234083279,0.208663295487072,588.56,1.34,9.33,,2,FALSE,0.43,0
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,CHEMBL384467,0.696926,0.23120546,0.62204874,0.78244764,0.66560006,0.13130134,0.6337835,0.09868798,0.568472405126091,0.515910996841402,0.393502169794379,0.394076499329614,0.57533205424197,0.217491300046701,0.186831492955062,0.170026966089013,392.47,1.9,12.42,,0,TRUE,0.67,0
