tSNE_0,tSNE_1,Label_target_A,Label_target_B
0.046849996,0.13086098,0,2
0.14733827,0.13099393,0,0
0.85972786,0.53242505,0,1
0.95960677,0.5188368,0,0
0.18033078,0.12028271,0,0
0.045673847,0.4809477,0,0
0.05662921,0.5522079,0,0
0.076446295,0.4983174,0,0
0.57607347,0.5302583,0,0
0.5902426,0.14279482,0,0
0.19738153,0.6903962,0,0
0.9630313,0.54842585,0,0
0.041083127,0.50673497,0,0
0.89949155,0.53469,0,1
0.17538717,0.14532104,0,0
0.2059903,0.095593214,0,0
0.55185336,0.031110197,0,0
0.007997334,0.5003388,0,0
0.0035591125,0.5300842,0,0
0.38833085,0.7435707,0,0
0.63019806,0.07247317,0,0
0.5492762,0.064912826,0,0
0.6045778,0.12651122,0,0
0.5044105,0.073964,0,0
0.51948416,0.041540593,0,0
0.58482397,0.07535431,0,0
0.2058835,0.12944835,0,0
0.5249703,0.010139257,0,0
0.58606774,0.021468371,0,0
0.56291425,0,0,0
0.21847597,0.23193315,0,0
0.2503599,0.39615947,0,0
0.07506579,0.52756834,0,0
0.2025168,0.16217935,0,0
0.38822928,0.7859213,0,0
0.41459894,0.9251489,0,0
0.59012824,0.5443381,0,0
0.03597477,0.5328321,0,0
0.2278451,0.7296122,0,0
0.5753273,0.04666847,0,0
0.61169803,0.04693812,0,0
0.4444447,0.2271029,0,0
0.17400089,0.7094782,0,0
0.4353207,0.7062504,0,1
0,0.1875098,0,0
0.8783933,0.51140755,0,1
0.57505924,0.97578967,0,0
0.15309957,0.17423284,0,0
0.5481686,0.9686109,0,0
0.35729223,0.13554373,0,0
0.35830435,0.6878742,0,0
0.40408626,0.89922196,0,0
0.3829712,0.6852153,0,0
0.5150621,0.9674686,0,1
0.40727353,0.98151934,0,0
0.022081763,0.19129854,0,0
0.46467084,0.23528394,0,0
0.19931453,0.31090003,0,1
0.22410119,0.29636812,0,1
0.4378139,0.25721854,0,0
0.9325744,0.5729191,0,0
0.8972142,0.56304336,0,0
0.73457825,0.3473546,1,0
0.02451238,0.13659588,1,0
0.39228362,0.6513378,1,1
0.5379244,1,1,0
0.45846722,0.6909443,1,0
0.61108637,0.3846337,1,1
0.31104237,0.44860807,1,0
0.40101668,0.86509913,1,1
0.67158085,0.34419912,1,0
0.35838583,0.7103927,1,1
0.6510937,0.37103015,1,0
0.48470935,0.6587151,1,1
0.9171037,0.51236707,1,2
0.49320358,0.6414995,1,1
0.7014732,0.33463097,1,0
0.4516145,0.97737527,1,0
0.40258664,0.9581157,1,0
0.93084985,0.5427821,1,1
0.3667847,0.56714845,1,0
0.26947603,0.58756423,1,0
0.33809912,0.58210623,1,0
0.33445603,0.5571789,1,0
0.32956293,0.46262473,1,0
1,0.53384334,1,0
0.5063762,0.9968853,1,0
0.55543625,0.94526863,1,0
0.2976404,0.5717005,1,0
0.43728676,0.9012525,1,0
0.26830825,0.5618138,1,1
0.31497046,0.6044078,1,0
0.2973767,0.4729428,1,0
0.37331414,0.9745525,1,0
0.3750804,0.94526494,1,0
0.4347202,0.94901663,1,0
0.299891,0.5459075,1,0
0.14494771,0.4725793,1,1
0.21399596,0.27079815,1,1
0.23839355,0.6973858,1,1
0.19049722,0.28831995,1,1
0.44595543,0.46131265,1,1
0.42051455,0.46225467,1,1
0.25467163,0.6838459,1,2
0.6571699,0.32329214,2,1
0.39773756,0.5899666,2,0
0.6062684,0.3496291,2,1
0.3629191,0.1528844,2,0
0.46972984,0.0875656,2,0
0.6824568,0.2958349,2,0
0.26367328,0.4484005,2,0
0.6344653,0.34505662,2,1
0.263403,0.4289652,2,1
0.3971484,0.54873,2,1
0.5801929,0.5020767,2,1
0.17429718,0.46754912,2,2
0.4349726,0.48499483,2,1
0.8539206,0.48179305,2,2
